purchase_order_number,purchase_order_line,order_date,ordering_facility_code,supplier_partner_code,item_code,item_description,item_category,ordered_quantity,ordered_unit,unit_price,currency,requested_delivery_date,authorization_class,declared_cost_center,order_status
PO-2015-00016,1,2015-08-11,FCL-1007,BP-30078,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4712.58,VLN,2015-09-19,ordinary,Agricultural Distribution,completed
PO-2015-00017,1,2015-08-17,FCL-1007,BP-30078,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,4,sealed_lot,1083.12,VLN,2015-09-11,expedited,Clinical Programmes,completed
PO-2015-00018,1,2015-09-23,FCL-1009,BP-30079,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4778.03,VLN,2015-10-10,ordinary,General Operations,completed
PO-2015-00019,1,2015-10-31,FCL-1008,BP-30009,ITM-AGR-001,Durian produce pallet,agricultural_product,31,pallet,1646.70,NDH,2015-12-04,expedited,Research Services,completed
PO-2015-00020,1,2015-11-03,FCL-1007,BP-30078,ITM-PRO-001,Field protective equipment case,protective_equipment,4,case,391.98,VLN,2015-11-17,ordinary,Field Programmes,completed
PO-2015-00021,1,2015-11-26,FCL-1011,BP-30011,ITM-MED-001,General clinical consumable case,medical_consumables,6,case,165.35,VLN,2016-01-03,ordinary,Facilities,completed
PO-2015-00022,1,2015-12-01,FCL-1007,BP-30078,ITM-AGR-001,Durian produce pallet,agricultural_product,36,pallet,1960.10,VLN,2015-12-21,ordinary,Field Programmes,completed
PO-2015-00023,1,2015-12-02,FCL-1025,BP-30012,ITM-LAB-001,Laboratory assay material pack,laboratory_material,54,pack,688.05,NDH,2015-12-23,ordinary,General Operations,cancelled
PO-2015-00024,1,2015-12-09,FCL-1010,BP-30046,ITM-OFF-001,Office supply case,office_supply,14,case,109.16,VLN,2016-01-01,expedited,Clinical Services,completed
PO-2015-00025,1,2015-12-09,FCL-1015,BP-30066,ITM-CSE-002,Insulated transport container,cold_storage_equipment,14,unit,3149.60,AVL,2015-12-19,expedited,General Operations,completed
PO-2015-00026,1,2015-12-09,FCL-1012,BP-30017,ITM-OFF-001,Office supply case,office_supply,89,case,96.64,VLN,2015-12-24,expedited,General Operations,completed
PO-2016-00001,1,2016-01-15,FCL-1017,BP-30023,ITM-COM-001,Secure communication service,communication_service,1,service,1455.26,AVL,2016-02-15,ordinary,Facilities,completed
PO-2016-00002,1,2016-01-25,FCL-1010,BP-30078,ITM-MED-002,Sterile administration supplies,medical_consumables,61,case,299.20,VLN,2016-02-16,restricted,Clinical Programmes,completed
PO-2016-00003,1,2016-02-04,FCL-1009,BP-30013,ITM-MED-002,Sterile administration supplies,medical_consumables,7,case,230.62,VLN,2016-02-26,ordinary,Agricultural Distribution,completed
PO-2016-00004,1,2016-02-06,FCL-1002,BP-30033,ITM-OFF-001,Office supply case,office_supply,10,case,99.52,VLN,2016-03-14,restricted,General Operations,completed
PO-2016-00005,1,2016-02-10,FCL-1011,BP-30012,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,20,unit,5067.98,VLN,2016-02-25,ordinary,Field Programmes,completed
PO-2016-00006,1,2016-02-21,FCL-1016,BP-30003,ITM-MED-002,Sterile administration supplies,medical_consumables,19,case,230.60,NDH,2016-03-19,emergency,Cold Chain,completed
PO-2016-00007,1,2016-02-24,FCL-1014,BP-30039,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2802.30,TMB,2016-04-03,expedited,Research Services,completed
PO-2016-00008,1,2016-03-04,FCL-1027,BP-30060,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,20,kit,2385.53,VLN,2016-04-02,ordinary,General Operations,completed
PO-2016-00009,1,2016-03-14,FCL-1010,BP-30068,ITM-LAB-001,Laboratory assay material pack,laboratory_material,55,pack,725.96,VLN,2016-04-20,ordinary,Research Services,completed
PO-2016-00010,1,2016-03-26,FCL-1010,BP-30054,ITM-OFF-001,Office supply case,office_supply,6,case,95.85,VLN,2016-04-08,ordinary,Field Programmes,completed
PO-2016-00011,1,2016-04-19,FCL-1030,BP-30028,ITM-GRA-001,Programme grant transfer,grant,1,grant,26340.48,KRN,2016-05-21,ordinary,Clinical Services,completed
PO-2016-00012,1,2016-05-23,FCL-1010,BP-30078,ITM-MED-002,Sterile administration supplies,medical_consumables,8,case,275.75,VLN,2016-06-25,expedited,Clinical Programmes,completed
PO-2016-00013,1,2016-05-28,FCL-1005,BP-30046,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,18,unit,14057.39,TMB,2016-06-20,ordinary,Cold Chain,completed
PO-2016-00014,1,2016-06-28,FCL-1030,BP-30073,ITM-BIO-002,Environmental reference sample lot,biological_sample,15,sealed_lot,1343.13,KRN,2016-08-04,restricted,Research Services,completed
PO-2016-00015,1,2016-07-05,FCL-1007,BP-30078,ITM-MED-002,Sterile administration supplies,medical_consumables,3,case,295.52,VLN,2016-07-24,expedited,Clinical Programmes,completed
PO-2016-00016,1,2016-07-07,FCL-1007,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,28,case,143.73,VLN,2016-07-30,restricted,Clinical Services,completed
PO-2016-00017,1,2016-07-08,FCL-1011,BP-30060,ITM-MED-002,Sterile administration supplies,medical_consumables,42,case,300.20,VLN,2016-07-22,ordinary,Facilities,pending
PO-2016-00018,1,2016-08-03,FCL-1010,BP-30030,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2596.19,VLN,2016-08-23,ordinary,Clinical Services,completed
PO-2016-00019,1,2016-08-18,FCL-1030,BP-30080,ITM-MED-001,General clinical consumable case,medical_consumables,78,case,142.23,KRN,2016-09-11,ordinary,Field Programmes,completed
PO-2016-00020,1,2016-09-26,FCL-1010,BP-30011,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2795.84,VLN,2016-10-22,ordinary,Clinical Services,completed
PO-2016-00021,1,2016-10-02,FCL-1002,BP-30029,ITM-MED-002,Sterile administration supplies,medical_consumables,88,case,276.92,NDH,2016-10-30,ordinary,Facilities,completed
PO-2016-00022,1,2016-10-04,FCL-1007,BP-30009,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,15,unit,4797.82,AVL,2016-10-22,restricted,Agricultural Distribution,completed
PO-2016-00023,1,2016-11-14,FCL-1010,BP-30048,ITM-BIO-002,Environmental reference sample lot,biological_sample,3,sealed_lot,1455.60,VLN,2016-12-07,expedited,Facilities,completed
PO-2016-00024,1,2016-12-07,FCL-1019,BP-30078,ITM-CSE-002,Insulated transport container,cold_storage_equipment,22,unit,3302.98,AVL,2017-01-03,ordinary,Clinical Services,completed
PO-2016-00025,1,2016-12-08,FCL-1030,BP-30032,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,4404.10,KRN,2017-01-17,ordinary,Research Services,completed
PO-2016-00026,1,2016-12-15,FCL-1019,BP-30078,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,36,pallet,1258.40,AVL,2016-12-28,ordinary,General Operations,completed
PO-2016-00027,1,2016-12-22,FCL-1008,BP-30057,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,1,kit,1818.23,NDH,2017-01-05,expedited,General Operations,completed
PO-2016-00028,1,2016-12-24,FCL-1014,BP-30025,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3467.84,NDH,2017-01-09,expedited,Research Services,completed
PO-2017-00001,1,2017-01-13,FCL-1019,BP-30078,ITM-PRO-001,Field protective equipment case,protective_equipment,35,case,498.42,AVL,2017-02-14,ordinary,Research Services,completed
PO-2017-00002,1,2017-01-17,FCL-1010,BP-30008,ITM-OTH-001,General facility material,other,6,unit,693.74,VLN,2017-02-20,restricted,Agricultural Distribution,completed
PO-2017-00003,1,2017-01-27,FCL-1011,BP-30059,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,2,sealed_lot,1077.41,VLN,2017-02-09,ordinary,Research Services,completed
PO-2017-00004,1,2017-02-04,FCL-1011,BP-30049,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,14,kit,1953.70,VLN,2017-03-05,ordinary,General Operations,completed
PO-2017-00005,1,2017-02-06,FCL-1011,BP-30014,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,22,unit,5790.45,VLN,2017-03-12,ordinary,General Operations,completed
PO-2017-00006,1,2017-02-16,FCL-1020,BP-30053,ITM-OFF-001,Office supply case,office_supply,15,case,108.70,AVL,2017-03-28,ordinary,Field Programmes,completed
PO-2017-00007,1,2017-02-21,FCL-1003,BP-30080,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,4069.24,TMB,2017-03-08,ordinary,Facilities,completed
PO-2017-00008,1,2017-03-06,FCL-1004,BP-30009,ITM-CON-001,Operational consulting service,consulting_service,1,service,6041.77,KRN,2017-03-27,ordinary,Agricultural Distribution,completed
PO-2017-00009,1,2017-03-07,FCL-1010,BP-30002,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,25,unit,11647.30,VLN,2017-03-30,ordinary,Clinical Services,completed
PO-2017-00010,1,2017-03-21,FCL-1006,BP-30023,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,78,case,574.53,TMB,2017-04-27,expedited,Research Services,completed
PO-2017-00011,1,2017-03-29,FCL-1030,BP-30077,ITM-CON-001,Operational consulting service,consulting_service,1,service,5525.21,KRN,2017-04-16,ordinary,General Operations,completed
PO-2017-00012,1,2017-04-18,FCL-1007,BP-30078,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,5,sealed_lot,4746.67,VLN,2017-05-27,restricted,Clinical Programmes,completed
PO-2017-00013,1,2017-05-16,FCL-1015,BP-30001,ITM-OTH-001,General facility material,other,11,unit,578.95,AVL,2017-06-23,ordinary,Clinical Services,completed
PO-2017-00014,1,2017-06-08,FCL-1019,BP-30078,ITM-COM-001,Secure communication service,communication_service,1,service,1571.42,AVL,2017-06-19,ordinary,Agricultural Distribution,completed
PO-2017-00015,1,2017-07-19,FCL-1007,BP-30052,ITM-CSE-002,Insulated transport container,cold_storage_equipment,12,unit,3028.34,AVL,2017-07-28,ordinary,Cold Chain,completed
PO-2017-00016,1,2017-08-14,FCL-1015,BP-30035,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,7,unit,12410.76,AVL,2017-09-16,ordinary,Field Programmes,completed
PO-2017-00017,1,2017-08-28,FCL-1007,BP-30078,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,5,sealed_lot,4411.07,VLN,2017-09-04,ordinary,Clinical Programmes,completed
PO-2017-00018,1,2017-08-28,FCL-1014,BP-30064,ITM-OTH-001,General facility material,other,4,unit,699.83,TMB,2017-09-05,ordinary,Cold Chain,completed
PO-2017-00019,1,2017-09-25,FCL-1016,BP-30080,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,17,unit,18925.46,TMB,2017-11-05,restricted,Research Services,completed
PO-2017-00020,1,2017-09-30,FCL-1019,BP-30005,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,5,sealed_lot,5337.99,AVL,2017-11-08,ordinary,Research Services,completed
PO-2017-00021,1,2017-10-03,FCL-1029,BP-30073,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,23,unit,21820.52,VLN,2017-10-20,ordinary,Research Services,completed
PO-2017-00022,1,2017-10-10,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,7,case,143.14,VLN,2017-11-11,ordinary,Clinical Programmes,completed
PO-2017-00023,1,2017-10-13,FCL-1003,BP-30001,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,29,kit,2528.51,TMB,2017-11-19,expedited,General Operations,completed
PO-2017-00024,1,2017-12-10,FCL-1007,BP-30078,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,26,pallet,1469.11,VLN,2017-12-27,ordinary,Clinical Services,completed
PO-2017-00025,1,2017-12-18,FCL-1030,BP-30026,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,6,unit,5910.33,KRN,2018-01-19,restricted,Clinical Services,completed
PO-2017-00026,1,2017-12-22,FCL-1009,BP-30080,ITM-GRA-001,Programme grant transfer,grant,1,grant,25786.97,NDH,2018-01-22,ordinary,General Operations,cancelled
PO-2018-00001,1,2018-01-02,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,43,case,138.19,VLN,2018-01-30,ordinary,Clinical Programmes,completed
PO-2018-00002,1,2018-01-10,FCL-1020,BP-30018,ITM-OTH-001,General facility material,other,11,unit,671.01,TMB,2018-01-24,expedited,Research Services,completed
PO-2018-00003,1,2018-01-19,FCL-1007,BP-30078,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,14,sealed_lot,1116.46,VLN,2018-02-12,restricted,Field Programmes,completed
PO-2018-00004,1,2018-01-21,FCL-1004,BP-30043,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4086.23,KRN,2018-02-23,ordinary,Agricultural Distribution,completed
PO-2018-00005,1,2018-01-28,FCL-1020,BP-30078,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,29,kit,1724.79,AVL,2018-02-28,expedited,Field Operations,completed
PO-2018-00006,1,2018-01-29,FCL-1010,BP-30078,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,6,sealed_lot,5001.41,VLN,2018-02-21,ordinary,Clinical Programmes,completed
PO-2018-00007,1,2018-03-04,FCL-1030,BP-30078,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,88 case,case,582.02,AVL,2018-03-16,ordinary,Field Operations,completed
PO-2018-00008,1,2018-03-14,FCL-1020,BP-30072,ITM-LAB-002,Sample preparation material pack,laboratory_material,11,pack,457.82,TMB,2018-04-04,ordinary,Facilities,completed
PO-2018-00009,1,2018-04-02,FCL-1007,BP-30078,ITM-BIO-003,Wildlife survey specimen lot,biological_sample,14,sealed_lot,923.32,VLN,2018-04-11,ordinary,Facilities,completed
PO-2018-00010,1,2018-04-02,FCL-1002,BP-30034,ITM-OFF-001,Office supply case,office_supply,82,case,91.67,VLN,2018-04-21,emergency,Cold Chain,completed
PO-2018-00011,1,2018-04-03,FCL-1020,BP-30028,ITM-LEG-001,Regulatory legal service,legal_service,1,service,3846.03,TMB,2018-04-20,ordinary,Research Services,completed
PO-2018-00012,1,2018-04-03,FCL-1011,BP-30001,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,15,unit,20696.30,VLN,2018-05-11,ordinary,Cold Chain,completed
PO-2018-00013,1,2018-04-04,FCL-1025,BP-30059,ITM-BIO-001,Temperature-sensitive clinical reference material,biological_sample,6,sealed_lot,4403.97,AVL,2018-04-26,ordinary,Research Services,pending
PO-2018-00014,1,2018-04-04,FCL-1019,BP-30038,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2773.86,AVL,2018-05-02,ordinary,General Operations,completed
PO-2018-00015,1,2018-04-04,FCL-1014,BP-30057,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,3051.50,NDH,2018-05-11,ordinary,Field Programmes,completed
PO-2018-00016,1,2018-04-05,FCL-1020,BP-30009,ITM-MON-002,Field camera and sensor kit,MONITORING_EQUIPMENT,5,kit,1979.32,TMB,2018-04-28,ordinary,Agricultural Distribution,completed
PO-2018-00017,1,2018-04-06,FCL-1011,BP-30056,ITM-CSE-002,Insulated transport container,cold_storage_equipment,16,unit,3358.92,VLN,2018-05-12,ordinary,Field Programmes,completed
PO-2018-00018,1,2018-04-06,FCL-1019,BP-30078,ITM-OFF-001,Office supply case,office_supply,68,case,103.18,AVL,2018-04-27,emergency,Field Programmes,completed
PO-2018-00019,1,2018-04-06,FCL-1011,BP-30002,ITM-OFF-001,Office supply case,office_supply,31,case,108.54,VLN,2018-04-30,ordinary,General Operations,completed
PO-2018-00020,1,2018-04-06,FCL-1015,BP-30078,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1 service,service,2728.55,AVL,2018-05-05,expedited,Research Services,completed
PO-2018-00021,1,2018-04-08,FCL-1010,BP-30048,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,4107.83,VLN,26/04/2018,expedited,Research Services,completed
PO-2018-00022,1,2018-04-08,FCL-1010,BP-30040,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2487.17,VLN,2018-04-23,ordinary,Agricultural Distribution,completed
PO-2018-00023,1,2018-04-09,FCL-1013,BP-30059,ITM-CON-001,Operational consulting service,consulting_service,1,service,6257.91,NDH,2018-04-28,ordinary,General Operations,completed
PO-2018-00024,1,2018-04-11,FCL-1025,BP-30005,ITM-CON-001,Operational consulting service,consulting_service,1,service,5375.58,NDH,2018-04-21,ordinary,Research Services,completed
PO-2018-00025,1,2018-04-13,FCL-1007,BP-30078,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4195.39,VLN,2018-05-07,ordinary,Research Services,completed
PO-2018-00026,1,2018-04-13,FCL-1007,BP-30078,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4769.47,VLN,2018-04-20,ordinary,Field Programmes,completed
PO-2018-00027,1,2018-04-14,FCL-1019,BP-30018,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,14,kit,"2469,48",NDH,2018-05-17,ordinary,Field Programmes,completed
PO-2018-00028,1,2018-04-15,FCL-1030,BP-30069,ITM-MED-002,Sterile administration supplies,medical_consumables,73,case,237.63,KRN,2018-05-04,ordinary,General Operations,delayed
PO-2018-00029,1,2018-04-15,FCL-1007,BP-30075,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4805.24,AVL,2018-05-03,ordinary,General Operations,completed
PO-2018-00030,1,2018-04-17,FCL-1030,BP-30002,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4765.97,KRN,2018-05-27,ordinary,Facilities,completed
PO-2018-00031,1,2018-04-18,FCL-1011,BP-30022,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,19,unit,12342.04,VLN,2018-05-20,ordinary,General Operations,delayed
PO-2018-00032,1,2018-04-19,FCL-1007,BP-30078,ITM-COM-001,Secure communication service,communication_service,1,service,1300.67,AVL,2018-05-22,ordinary,Clinical Services,completed
PO-2018-00033,1,2018-04-19,FCL-1005,BP-30055,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,72,case,651.79,TMB,2018-05-18,ordinary,Research Services,completed
PO-2018-00034,1,2018-04-21,FCL-1011,BP-30066,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,12,unit,5481.67,VLN,2018-05-22,ordinary,Agricultural Distribution,completed
PO-2018-00035,1,2018-04-22,FCL-1006,BP-30021,ITM-MON-001,Acoustic monitoring kit,monitoring_equipment,11,kit,1679.35,TMB,2018-05-03,ordinary,Field Programmes,completed
PO-2018-00036,1,2018-04-22,FCL-1011,BP-30030,ITM-AGE-001,Orchard maintenance equipment,agricultural_equipment,9,unit,5623.78,VLN,2018-05-17,expedited,Clinical Services,completed
PO-2018-00037,1,2018-04-22,FCL-1025,BP-30042,ITM-LAB-001,Laboratory assay material pack,laboratory_material,12,pack,802.94,AVL,2018-04-30,ordinary,Field Programmes,completed
PO-2018-00038,1,2018-04-23,FCL-1019,BP-30025,ITM-OTH-001,General facility material,other,17,unit,617.79,AVL,2018-06-01,ordinary,Clinical Services,completed
PO-2018-00039,1,2018-04-23,FCL-1015,BP-30013,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,42,case,697.29,NDH,2018-05-29,expedited,Clinical Services,completed
PO-2018-00040,1,2018-04-23,FCL-1011,BP-30066,ITM-AGR-001,Durian produce pallet,agricultural_product,27,pallet,1735.34,VLN,2018-05-28,ordinary,Clinical Services,completed
PO-2018-00041,1,2018-04-25,FCL-1007,BP-30055,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4652.10,AVL,2018-05-10,ordinary,Research Services,completed
PO-2018-00042,1,2018-05-06,FCL-1019,BP-30078,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,7,unit,12531.43,AVL,2018-06-05,ordinary,Field Operations,completed
PO-2018-00043,1,2018-05-09,FCL-1011,BP-30056,ITM-COM-001,Secure communication service,communication_service,1,service,1597.08,VLN,2018-06-07,ordinary,Agricultural Distribution,completed
PO-2018-00044,1,2018-05-22,FCL-1019,BP-30053,ITM-PRO-001,Field protective equipment case,protective_equipment,45,case,425.53,AVL,2018-06-09,ordinary,Cold Chain,pending
PO-2018-00045,1,2018-05-28,FCL-1010,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,47,case,140.95,VLN,2018-06-15,ordinary,Clinical Programmes,completed
PO-2018-00046,1,2018-06-22,FCL-1016,BP-30053,ITM-MED-002,Sterile administration supplies,medical_consumables,55,case,299.66,TMB,2018-07-25,ordinary,Research Services,completed
PO-2018-00047,1,2018-07-26,FCL-1011,BP-30008,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,9,unit,20729.00,VLN,2018-08-03,ordinary,Facilities,completed
PO-2018-00048,1,2018-09-03,FCL-1020,BP-30008,ITM-OTH-001,General facility material,other,8,unit,685.31,TMB,2018-09-26,expedited,Field Programmes,delayed
PO-2018-00049,1,2018-09-20,FCL-1007,BP-30080,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,1,kit,"2474,89",VLN,2018-10-04,ordinary,Agricultural Distribution,completed
PO-2018-00050,1,2018-10-27,FCL-1019,BP-30078,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2875.61,AVL,2018-12-03,ordinary,General Operations,completed
PO-2018-00051,1,2018-11-14,FCL-1011,BP-30056,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,2,pallet,1422.94,VLN,2018-12-03,restricted,Clinical Services,completed
PO-2018-00052,1,2018-12-05,FCL-1011,BP-30021,ITM-LAB-002,Sample preparation material pack,laboratory_material,60,pack,479.93,VLN,2019-01-11,ordinary,Research Services,completed
PO-2018-00053,1,2018-12-19,FCL-1011,BP-30058,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,90,case,555.09,VLN,2019-01-04,emergency,General Operations,completed
PO-2019-00001,1,2019-01-27,FCL-1011,BP-30037,ITM-CON-001,Operational consulting service,consulting_service,1,service,5500.86,VLN,2019-02-24,ordinary,Agricultural Distribution,completed
PO-2019-00002,1,2019-02-09,FCL-1010,BP-30080,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2985.72,VLN,2019-03-03,ordinary,Research Services,delayed
PO-2019-00003,1,2019-02-18,FCL-1007,BP-30078,ITM-MED-002,Sterile administration supplies,medical_consumables,85,case,240.98,VLN,2019-03-16,restricted,Clinical Programmes,completed
PO-2019-00004,1,2019-03-21,FCL-1019,BP-30070,ITM-BIO-002,Environmental reference sample lot,biological_sample,10,sealed_lot,1468.58,AVL,2019-04-28,expedited,Agricultural Distribution,completed
PO-2019-00005,1,2019-03-21,FCL-1007,BP-30078,ITM-PRO-002,Cold-handling protective supplies,protective_equipment,83,case,606.00,VLN,2019-04-26,restricted,General Operations,completed
PO-2019-00006,1,2019-04-12,FCL-1001,BP-30021,ITM-AGR-002,Mixed orchard produce pallet,agricultural_product,34,pallet,1256.58,TMB,2019-05-23,ordinary,Cold Chain,completed
PO-2019-00007,1,2019-04-16,FCL-1011,BP-30030,ITM-MED-002,Sterile administration supplies,medical_consumables,77,case,232.74,VLN,2019-05-27,ordinary,Agricultural Distribution,completed
PO-2019-00008,1,2019-04-23,FCL-1007,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,48,case,149.99,VLN,2019-05-19,expedited,Clinical Programmes,completed
PO-2019-00009,1,2019-05-01,FCL-1015,BP-30072,ITM-REF-001,Refrigeration maintenance service,refrigeration_service,1,service,2958.00,AVL,2019-05-31,ordinary,Facilities,completed
PO-2019-00010,1,2019-05-10,FCL-1016,BP-30033,ITM-RES-001,Applied research contract,research_contract,1,contract,16790.72,TMB,2019-05-25,expedited,General Operations,completed
PO-2019-00011,1,2019-05-26,FCL-1011,BP-30025,ITM-MEQ-001,Diagnostic equipment unit,medical_equipment,6,unit,18833.40,VLN,2019-06-09,restricted,Research Services,completed
PO-2019-00012,1,2019-06-09,FCL-1016,BP-30022,ITM-MED-001,General clinical consumable case,medical_consumables,37,case,134.97,TMB,2019-07-07,ordinary,Research Services,pending
PO-2019-00013,1,2019-06-14,FCL-1016,BP-30044,ITM-MED-002,Sterile administration supplies,medical_consumables,70,case,293.25,TMB,2019-07-14,ordinary,Cold Chain,completed
PO-2019-00014,1,2019-07-04,FCL-1007,BP-30078,ITM-BIO-002,Environmental reference sample lot,biological_sample,18,sealed_lot,1253.84,VLN,2019-08-08,expedited,Research Services,completed
PO-2019-00015,1,2019-07-11,FCL-1010,BP-30047,ITM-PRO-001,Field protective equipment case,protective_equipment,4,case,431.42,VLN,29-Jul-2019,ordinary,Research Services,completed
