facility_code,facility_name,facility_category,operating_partner_code,street_address,region,latitude,longitude,opening_date,facility_status,storage_capabilities
FCL-1009,Nordhaven Freight Exchange Warehouse,warehouse,BP-30060,"Nordhaven Freight Exchange Warehouse, Nordhaven Maritime District",Nordhaven Maritime District,56.3572,9.0504,2007-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1008,Civic Health Receiving Centre,warehouse,BP-30069,"Civic Health Receiving Centre, Valenne Central District",Valenne Central District,47.2606,7.5003,2009-01-01,active,ambient;secure_cage
FCL-1018,Auric Medical Supply Depot,warehouse,BP-30030,"Auric Medical Supply Depot, Valenne Central District",Valenne Central District,47.2894,7.848,2005-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1006,Tembara Port Consolidation Yard,port_staging,BP-30015,"Tembara Port Consolidation Yard, Tembara Coastal Cluster",Tembara Coastal Cluster,2.2093,104.5033,2006-01-01,active,ambient;secure_cage
FCL-1022,Kintara Field Equipment Depot,warehouse,BP-30079,"Kintara Field Equipment Depot, Kintara Karst Cluster",Kintara Karst Cluster,4.6435,112.2424,2012-01-01,active,ambient;secure_cage
FCL-1017,Avelora Orchard Export Packhouse,warehouse,BP-30037,"Avelora Orchard Export Packhouse, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.3451,101.8877,1999-01-01,active,ambient;secure_cage
FCL-1013,Nordhaven Refrigeration Workshop,service_facility,BP-30033,"Nordhaven Refrigeration Workshop, Nordhaven Maritime District",Nordhaven Maritime District,56.5286,8.8348,2003-01-01,active,ambient
FCL-1012,Valenne Laboratory Materials Store,warehouse,BP-30011,"Valenne Laboratory Materials Store, Valenne Central District",Valenne Central District,47.0273,7.6438,2012-01-01,active,ambient;secure_cage
FCL-1014,Tembara Coastal Research Store,laboratory_delivery_point,BP-30065,"Tembara Coastal Research Store, Tembara Coastal Cluster",Tembara Coastal Cluster,2.2229,104.2706,2009-01-01,active,2-8C;controlled_access
FCL-1025,Marula Cooperative Cold Store,warehouse,BP-30001,"Marula Cooperative Cold Store, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.4355,101.9226,2002-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1003,Pelagos Samples Laboratory,laboratory_delivery_point,BP-30018,"Pelagos Samples Laboratory, Tembara Coastal Cluster",Tembara Coastal Cluster,2.0992,104.3596,2007-01-01,active,2-8C;controlled_access
FCL-1004,Kestrel Conservation Field Depot,field_depot,BP-30029,"Kestrel Conservation Field Depot, Kintara Karst Cluster",Kintara Karst Cluster,4.7363,112.3743,2015-01-01,active,ambient
FCL-1002,Lumen Safety Equipment Store,warehouse,BP-30023,"Lumen Safety Equipment Store, Valenne Central District",Valenne Central District,47.2996,7.5208,1997-01-01,active,ambient;secure_cage
FCL-1001,Nacre Air Cargo Terminal,air_cargo_terminal,BP-30020,"Nacre Air Cargo Terminal, Tembara Coastal Cluster",Tembara Coastal Cluster,2.1298,104.5129,2002-01-01,active,ambient;secure_cage
FCL-1026,Amber Kintara Transit Warehouse,warehouse,BP-30025,"Amber Kintara Transit Warehouse, Kintara Karst Cluster",Kintara Karst Cluster,4.7549,112.391,1996-01-01,active,ambient;secure_cage
FCL-1028,Eastgate Clinical Receiving Unit,clinical_delivery_point,BP-30050,"Eastgate Clinical Receiving Unit, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.4529,101.9087,1999-01-01,active,2-8C;controlled_access
FCL-1023,North Quay Biomedical Store,warehouse,BP-30031,"North Quay Biomedical Store, Nordhaven Maritime District",Nordhaven Maritime District,56.1606,8.7405,2014-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1021,Kintara Emergency Logistics Depot,field_depot,BP-30027,"Kintara Emergency Logistics Depot, Kintara Karst Cluster",Kintara Karst Cluster,4.673,112.2945,2010-01-01,active,ambient
FCL-1005,Tembara Customs Inspection Yard,field_depot,BP-30051,"Tembara Customs Inspection Yard, Tembara Coastal Cluster",Tembara Coastal Cluster,2.559,104.3376,2006-01-01,active,ambient
